latitude,longitude,count,city,province
22.483498,113.891811,3418,广州,广东省
22.483498,113.969811,1310,广州,广东省
22.483498,114.047811,1015,广州,广东省
22.55557,113.813811,104,广州,广东省
22.55557,113.891811,10757,广州,广东省
22.55557,113.969811,7395,广州,广东省
22.55557,114.047811,11242,广州,广东省
22.55557,114.125811,10967,广州,广东省
22.627642,113.579811,72,广州,广东省
22.627642,113.657811,33,广州,广东省
22.627642,113.813811,1937,广州,广东省
22.627642,113.891811,1247,广州,广东省
22.627642,113.969811,564,广州,广东省
22.627642,114.047811,12500,广州,广东省
22.627642,114.125811,5675,广州,广东省
22.699714,113.501811,42,广州,广东省
22.699714,113.579811,139,广州,广东省
22.699714,113.813811,4977,广州,广东省
22.699714,113.891811,1316,广州,广东省
22.699714,113.969811,2490,广州,广东省
22.699714,114.047811,3126,广州,广东省
22.699714,114.125811,1599,广州,广东省
22.771786,113.423811,371,广州,广东省
22.771786,113.501811,490,广州,广东省
22.771786,113.579811,1121,广州,广东省
22.771786,113.813811,1961,广州,广东省
22.771786,113.891811,2296,广州,广东省
22.771786,113.969811,456,广州,广东省
22.771786,114.047811,290,广州,广东省
22.771786,114.125811,11,广州,广东省
22.843858,113.345811,193,广州,广东省
22.843858,113.423811,110,广州,广东省
22.843858,113.501811,217,广州,广东省
22.843858,113.579811,24,广州,广东省
22.843858,113.813811,14,广州,广东省
22.843858,113.891811,52,广州,广东省
22.91593,113.267811,52,广州,广东省
22.91593,113.345811,3935,广州,广东省
22.91593,113.423811,1264,广州,广东省
22.91593,113.501811,192,广州,广东省
22.988002,113.267811,581,广州,广东省
22.988002,113.345811,4749,广州,广东省
22.988002,113.423811,1222,广州,广东省
22.988002,113.501811,512,广州,广东省
23.060074,113.189811,496,广州,广东省
23.060074,113.267811,7884,广州,广东省
23.060074,113.345811,4354,广州,广东省
23.060074,113.423811,1878,广州,广东省
23.060074,113.501811,792,广州,广东省
23.060074,113.579811,83,广州,广东省
23.132146,113.189811,1820,广州,广东省
23.132146,113.267811,16222,广州,广东省
23.132146,113.345811,15346,广州,广东省
23.132146,113.423811,6341,广州,广东省
23.132146,113.501811,1184,广州,广东省
23.132146,113.579811,2470,广州,广东省
23.132146,113.657811,624,广州,广东省
23.132146,113.735811,48,广州,广东省
23.204218,113.189811,669,广州,广东省
23.204218,113.267811,8819,广州,广东省
23.204218,113.345811,4836,广州,广东省
23.204218,113.423811,860,广州,广东省
23.204218,113.501811,781,广州,广东省
23.204218,113.579811,398,广州,广东省
23.204218,113.657811,52,广州,广东省
23.204218,113.735811,39,广州,广东省
23.204218,113.813811,91,广州,广东省
23.204218,113.891811,57,广州,广东省
23.27629,113.189811,421,广州,广东省
23.27629,113.267811,1548,广州,广东省
23.27629,113.345811,1533,广州,广东省
23.27629,113.423811,95,广州,广东省
23.27629,113.501811,29,广州,广东省
23.27629,113.579811,166,广州,广东省
23.27629,113.657811,113,广州,广东省
23.27629,113.735811,102,广州,广东省
23.27629,113.813811,1695,广州,广东省
23.27629,113.891811,31,广州,广东省
23.348362,113.113811,144,广州,广东省
23.348362,113.192811,1090,广州,广东省
23.348362,113.271811,1089,广州,广东省
23.348362,113.350811,382,广州,广东省
23.348362,113.429811,352,广州,广东省
23.348362,113.508811,48,广州,广东省
23.348362,113.587811,22,广州,广东省
23.348362,113.666811,29,广州,广东省
23.348362,113.824811,27,广州,广东省
23.420434,113.034811,22,广州,广东省
23.420434,113.113811,134,广州,广东省
23.420434,113.192811,2288,广州,广东省
23.420434,113.271811,871,广州,广东省
23.420434,113.350811,213,广州,广东省
23.420434,113.429811,146,广州,广东省
23.420434,113.508811,312,广州,广东省
23.420434,113.824811,18,广州,广东省
23.420434,113.903811,23,广州,广东省
23.492506,113.113811,57,广州,广东省
23.492506,113.192811,655,广州,广东省
23.492506,113.271811,46,广州,广东省
23.492506,113.350811,64,广州,广东省
23.492506,113.429811,15,广州,广东省
23.492506,113.508811,47,广州,广东省
23.492506,113.587811,138,广州,广东省
23.492506,113.666811,12,广州,广东省
23.492506,113.745811,38,广州,广东省
23.564578,113.271811,36,广州,广东省
23.564578,113.429811,16,广州,广东省
23.564578,113.508811,85,广州,广东省
23.564578,113.587811,1513,广州,广东省
23.564578,113.666811,35,广州,广东省
23.564578,113.745811,105,广州,广东省
23.63665,113.429811,76,广州,广东省
23.63665,113.587811,11,广州,广东省
23.63665,113.666811,307,广州,广东省
23.63665,113.745811,40,广州,广东省
23.708722,113.666811,24,广州,广东省
23.708722,113.745811,97,广州,广东省
23.708722,113.824811,25,广州,广东省
23.708722,113.903811,31,广州,广东省
23.780794,113.982811,36,广州,广东省
